Local;Departamento;Provincia;Distrito;Mes;Tipo Transaccion;TRANSACCIONES
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;AGOSTO;TRAMITE DNI;1,136
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;AGOSTO;ENTREGA DNI;1,253
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;AGOSTO;RRCC ACTA REGISTRAL;2
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;AGOSTO;RRCC COPIAS CERTIF;95
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;AGOSTO;CERTIFICACION DE RUIPN;227
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;AGOSTO;CERTIFICADOS DIGITALES;19
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;SEPTIEMBRE;TRAMITE DNI;967
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;SEPTIEMBRE;ENTREGA DNI;1,332
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;SEPTIEMBRE;RRCC COPIAS CERTIF;126
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;SEPTIEMBRE;CERTIFICACION DE RUIPN;240
AG CHOTA;CAJAMARCA;CHOTA;CHOTA;SEPTIEMBRE;CERTIFICADOS DIGITALES;8
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;JULIO;TRAMITE DNI;949
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;JULIO;ENTREGA DNI;1,360
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;JULIO;RRCC COPIAS CERTIF;71
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;JULIO;CERTIFICACION DE RUIPN;261
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;AGOSTO;TRAMITE DNI;1,109
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;AGOSTO;ENTREGA DNI;1,643
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;AGOSTO;RRCC COPIAS CERTIF;95
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;AGOSTO;CERTIFICACION DE RUIPN;188
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;SEPTIEMBRE;TRAMITE DNI;1,101
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;SEPTIEMBRE;ENTREGA DNI;1,469
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;SEPTIEMBRE;RRCC COPIAS CERTIF;94
AG CHULUCANAS;PIURA;MORROPON;CHULUCANAS;SEPTIEMBRE;CERTIFICACION DE RUIPN;213
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;JULIO;TRAMITE DNI;3,046
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;JULIO;ENTREGA DNI;4,437
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;JULIO;RRCC ACTA REGISTRAL;300
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;JULIO;RRCC COPIAS CERTIF;1,236
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;JULIO;CERTIFICACION DE RUIPN;663
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;JULIO;CERTIFICADOS DIGITALES;12
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;AGOSTO;TRAMITE DNI;3,120
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;AGOSTO;ENTREGA DNI;4,948
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;AGOSTO;RRCC ACTA REGISTRAL;337
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;AGOSTO;RRCC COPIAS CERTIF;1,503
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;AGOSTO;CERTIFICACION DE RUIPN;736
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;AGOSTO;CERTIFICADOS DIGITALES;15
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;SEPTIEMBRE;TRAMITE DNI;2,824
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;SEPTIEMBRE;ENTREGA DNI;4,962
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;SEPTIEMBRE;RRCC ACTA REGISTRAL;316
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;SEPTIEMBRE;RRCC COPIAS CERTIF;1,419
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;SEPTIEMBRE;CERTIFICACION DE RUIPN;680
OR CAJAMARCA;CAJAMARCA;CAJAMARCA;CAJAMARCA;SEPTIEMBRE;CERTIFICADOS DIGITALES;2
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;JULIO;TRAMITE DNI;1,679
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;JULIO;ENTREGA DNI;2,198
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;JULIO;CERTIFICACION DE RUIPN;660
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;JULIO;CERTIFICADOS DIGITALES;3
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;AGOSTO;TRAMITE DNI;1,930
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;AGOSTO;ENTREGA DNI;2,472
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;AGOSTO;CERTIFICACION DE RUIPN;768
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;AGOSTO;CERTIFICADOS DIGITALES;6
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;SEPTIEMBRE;TRAMITE DNI;1,551
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;SEPTIEMBRE;ENTREGA DNI;2,488
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;SEPTIEMBRE;CERTIFICACION DE RUIPN;731
OR ABANCAY;APURIMAC;ABANCAY;ABANCAY;SEPTIEMBRE;CERTIFICADOS DIGITALES;2
AG CANCHIS;CUSCO;CANCHIS;SICUANI;JULIO;TRAMITE DNI;969
AG CANCHIS;CUSCO;CANCHIS;SICUANI;JULIO;ENTREGA DNI;1,762
AG CANCHIS;CUSCO;CANCHIS;SICUANI;JULIO;RRCC COPIAS CERTIF;93
AG CANCHIS;CUSCO;CANCHIS;SICUANI;JULIO;CERTIFICACION DE RUIPN;359
AG CANCHIS;CUSCO;CANCHIS;SICUANI;JULIO;CERTIFICADOS DIGITALES;6
AG CANCHIS;CUSCO;CANCHIS;SICUANI;AGOSTO;TRAMITE DNI;1,143
AG CANCHIS;CUSCO;CANCHIS;SICUANI;AGOSTO;ENTREGA DNI;1,832
AG CANCHIS;CUSCO;CANCHIS;SICUANI;AGOSTO;RRCC COPIAS CERTIF;155
AG CANCHIS;CUSCO;CANCHIS;SICUANI;AGOSTO;CERTIFICACION DE RUIPN;416
AG CANCHIS;CUSCO;CANCHIS;SICUANI;AGOSTO;CERTIFICADOS DIGITALES;4
AG CANCHIS;CUSCO;CANCHIS;SICUANI;SEPTIEMBRE;TRAMITE DNI;1,003
AG CANCHIS;CUSCO;CANCHIS;SICUANI;SEPTIEMBRE;ENTREGA DNI;2,024
AG CANCHIS;CUSCO;CANCHIS;SICUANI;SEPTIEMBRE;RRCC COPIAS CERTIF;128
AG CANCHIS;CUSCO;CANCHIS;SICUANI;SEPTIEMBRE;CERTIFICACION DE RUIPN;449
AG CANCHIS;CUSCO;CANCHIS;SICUANI;SEPTIEMBRE;CERTIFICADOS DIGITALES;3
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;JULIO;TRAMITE DNI;1,017
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;JULIO;ENTREGA DNI;1,636
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;JULIO;RRCC COPIAS CERTIF;69
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;JULIO;CERTIFICACION DE RUIPN;413
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;AGOSTO;TRAMITE DNI;1,281
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;AGOSTO;ENTREGA DNI;1,864
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;AGOSTO;RRCC COPIAS CERTIF;155
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;AGOSTO;CERTIFICACION DE RUIPN;574
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;AGOSTO;CERTIFICADOS DIGITALES;1
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;SEPTIEMBRE;TRAMITE DNI;1,076
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;SEPTIEMBRE;ENTREGA DNI;1,705
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;SEPTIEMBRE;RRCC COPIAS CERTIF;121
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;SEPTIEMBRE;CERTIFICACION DE RUIPN;465
AG LA CONVENCION;CUSCO;LA CONVENCION;SANTA ANA;SEPTIEMBRE;CERTIFICADOS DIGITALES;6
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;JULIO;TRAMITE DNI;1,435
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;JULIO;ENTREGA DNI;3,425
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;JULIO;RRCC ACTA REGISTRAL;58
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;JULIO;RRCC COPIAS CERTIF;160
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;JULIO;CERTIFICACION DE RUIPN;1,239
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;JULIO;CERTIFICADOS DIGITALES;2
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AGOSTO;TRAMITE DNI;1,685
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AGOSTO;ENTREGA DNI;3,676
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AGOSTO;RRCC ACTA REGISTRAL;35
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AGOSTO;RRCC COPIAS CERTIF;203
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AGOSTO;CERTIFICACION DE RUIPN;1,237
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AGOSTO;CERTIFICADOS DIGITALES;1
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;SEPTIEMBRE;TRAMITE DNI;1,510
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;SEPTIEMBRE;ENTREGA DNI;3,619
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;SEPTIEMBRE;RRCC ACTA REGISTRAL;56
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;SEPTIEMBRE;RRCC COPIAS CERTIF;265
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;SEPTIEMBRE;CERTIFICACION DE RUIPN;1,194
OR TAMBOPATA;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;SEPTIEMBRE;CERTIFICADOS DIGITALES;3
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;JULIO;TRAMITE DNI;1,875
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;JULIO;ENTREGA DNI;2,710
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;JULIO;RRCC COPIAS CERTIF;220
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;JULIO;CERTIFICACION DE RUIPN;213
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;AGOSTO;TRAMITE DNI;2,314
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;AGOSTO;ENTREGA DNI;2,807
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;AGOSTO;RRCC COPIAS CERTIF;270
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;AGOSTO;CERTIFICACION DE RUIPN;344
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;SEPTIEMBRE;TRAMITE DNI;1,913
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;SEPTIEMBRE;ENTREGA DNI;2,827
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;SEPTIEMBRE;RRCC COPIAS CERTIF;221
PAP LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;SEPTIEMBRE;CERTIFICACION DE RUIPN;319
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;JULIO;TRAMITE DNI;828
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;JULIO;ENTREGA DNI;883
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;JULIO;RRCC COPIAS CERTIF;57
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;JULIO;CERTIFICACION DE RUIPN;116
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;AGOSTO;TRAMITE DNI;878
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;AGOSTO;ENTREGA DNI;923
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;AGOSTO;RRCC COPIAS CERTIF;82
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;AGOSTO;CERTIFICACION DE RUIPN;160
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;SEPTIEMBRE;TRAMITE DNI;823
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;SEPTIEMBRE;ENTREGA DNI;929
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;SEPTIEMBRE;RRCC COPIAS CERTIF;62
PAP FERREÑAFE;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;SEPTIEMBRE;CERTIFICACION DE RUIPN;154
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;JULIO;TRAMITE DNI;284
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;JULIO;ENTREGA DNI;400
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;JULIO;RRCC COPIAS CERTIF;13
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;JULIO;CERTIFICACION DE RUIPN;61
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;AGOSTO;TRAMITE DNI;298
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;AGOSTO;ENTREGA DNI;347
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;AGOSTO;RRCC COPIAS CERTIF;24
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;AGOSTO;CERTIFICACION DE RUIPN;29
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;SEPTIEMBRE;TRAMITE DNI;350
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;SEPTIEMBRE;ENTREGA DNI;419
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;SEPTIEMBRE;RRCC COPIAS CERTIF;13
AG PICOTA;SAN MARTIN;PICOTA;PICOTA;SEPTIEMBRE;CERTIFICACION DE RUIPN;15
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;JULIO;TRAMITE DNI;634
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;JULIO;ENTREGA DNI;842
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;JULIO;RRCC COPIAS CERTIF;50
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;JULIO;CERTIFICACION DE RUIPN;112
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;AGOSTO;TRAMITE DNI;758
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;AGOSTO;ENTREGA DNI;753
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;AGOSTO;RRCC ACTA REGISTRAL;4
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;AGOSTO;RRCC COPIAS CERTIF;79
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;AGOSTO;CERTIFICACION DE RUIPN;116
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;SEPTIEMBRE;TRAMITE DNI;658
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;SEPTIEMBRE;ENTREGA DNI;863
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;SEPTIEMBRE;RRCC ACTA REGISTRAL;4
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;SEPTIEMBRE;RRCC COPIAS CERTIF;71
PAP CAJABAMBA;CAJAMARCA;CAJABAMBA;CAJABAMBA;SEPTIEMBRE;CERTIFICACION DE RUIPN;89
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;JULIO;TRAMITE DNI;413
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;JULIO;ENTREGA DNI;456
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;JULIO;RRCC COPIAS CERTIF;65
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;JULIO;CERTIFICACION DE RUIPN;115
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;AGOSTO;TRAMITE DNI;492
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;AGOSTO;ENTREGA DNI;504
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;AGOSTO;RRCC ACTA REGISTRAL;2
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;AGOSTO;RRCC COPIAS CERTIF;119
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;AGOSTO;CERTIFICACION DE RUIPN;109
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;SEPTIEMBRE;TRAMITE DNI;438
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;SEPTIEMBRE;ENTREGA DNI;509
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;SEPTIEMBRE;RRCC COPIAS CERTIF;79
PAP CELENDIN;CAJAMARCA;CELENDIN;CELENDIN;SEPTIEMBRE;CERTIFICACION DE RUIPN;103
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;JULIO;TRAMITE DNI;80
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;JULIO;ENTREGA DNI;86
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;JULIO;RRCC COPIAS CERTIF;4
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;JULIO;CERTIFICACION DE RUIPN;8
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;AGOSTO;TRAMITE DNI;67
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;AGOSTO;ENTREGA DNI;73
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;AGOSTO;RRCC COPIAS CERTIF;4
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;AGOSTO;CERTIFICACION DE RUIPN;8
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;SEPTIEMBRE;TRAMITE DNI;65
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;SEPTIEMBRE;ENTREGA DNI;57
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;SEPTIEMBRE;RRCC COPIAS CERTIF;1
PAP CONTUMAZA;CAJAMARCA;CONTUMAZA;CONTUMAZA;SEPTIEMBRE;CERTIFICACION DE RUIPN;1
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;JULIO;TRAMITE DNI;532
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;JULIO;ENTREGA DNI;575
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;JULIO;RRCC COPIAS CERTIF;33
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;JULIO;CERTIFICACION DE RUIPN;90
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;AGOSTO;TRAMITE DNI;587
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;AGOSTO;ENTREGA DNI;684
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;AGOSTO;RRCC COPIAS CERTIF;62
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;AGOSTO;CERTIFICACION DE RUIPN;129
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;SEPTIEMBRE;TRAMITE DNI;587
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;SEPTIEMBRE;ENTREGA DNI;629
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;SEPTIEMBRE;RRCC COPIAS CERTIF;72
PAP HUALGAYOC;CAJAMARCA;HUALGAYOC;BAMBAMARCA;SEPTIEMBRE;CERTIFICACION DE RUIPN;145
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;JULIO;TRAMITE DNI;352
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;JULIO;ENTREGA DNI;303
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;JULIO;RRCC COPIAS CERTIF;27
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;JULIO;CERTIFICACION DE RUIPN;31
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;AGOSTO;TRAMITE DNI;262
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;AGOSTO;ENTREGA DNI;344
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;AGOSTO;RRCC COPIAS CERTIF;34
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;AGOSTO;CERTIFICACION DE RUIPN;35
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;SEPTIEMBRE;TRAMITE DNI;292
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;SEPTIEMBRE;ENTREGA DNI;325
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;SEPTIEMBRE;RRCC ACTA REGISTRAL;2
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;SEPTIEMBRE;RRCC COPIAS CERTIF;25
PAP SAN MARCOS;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;SEPTIEMBRE;CERTIFICACION DE RUIPN;41
PAP SAN MIGUEL;CAJAMARCA;SAN MIGUEL;SAN MIGUEL;JULIO;TRAMITE DNI;188
PAP SAN MIGUEL;CAJAMARCA;SAN MIGUEL;SAN MIGUEL;JULIO;ENTREGA DNI;156
PAP SAN MIGUEL;CAJAMARCA;SAN MIGUEL;SAN MIGUEL;AGOSTO;TRAMITE DNI;193
PAP SAN MIGUEL;CAJAMARCA;SAN MIGUEL;SAN MIGUEL;AGOSTO;ENTREGA DNI;170
PAP SAN MIGUEL;CAJAMARCA;SAN MIGUEL;SAN MIGUEL;SEPTIEMBRE;TRAMITE DNI;141
PAP SAN MIGUEL;CAJAMARCA;SAN MIGUEL;SAN MIGUEL;SEPTIEMBRE;ENTREGA DNI;184
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;JULIO;TRAMITE DNI;125
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;JULIO;ENTREGA DNI;130
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;JULIO;RRCC COPIAS CERTIF;16
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;JULIO;CERTIFICACION DE RUIPN;22
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;AGOSTO;TRAMITE DNI;168
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;AGOSTO;ENTREGA DNI;137
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;AGOSTO;RRCC COPIAS CERTIF;18
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;AGOSTO;CERTIFICACION DE RUIPN;15
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;SEPTIEMBRE;TRAMITE DNI;120
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;SEPTIEMBRE;ENTREGA DNI;146
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;SEPTIEMBRE;RRCC COPIAS CERTIF;12
PAP SAN PABLO;CAJAMARCA;SAN PABLO;SAN PABLO;SEPTIEMBRE;CERTIFICACION DE RUIPN;16
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;JULIO;TRAMITE DNI;448
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;JULIO;ENTREGA DNI;495
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;JULIO;RRCC COPIAS CERTIF;34
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;JULIO;CERTIFICACION DE RUIPN;72
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;AGOSTO;TRAMITE DNI;533
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;AGOSTO;ENTREGA DNI;552
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;AGOSTO;RRCC COPIAS CERTIF;20
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;AGOSTO;CERTIFICACION DE RUIPN;72
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;SEPTIEMBRE;TRAMITE DNI;438
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;SEPTIEMBRE;ENTREGA DNI;709
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;SEPTIEMBRE;RRCC COPIAS CERTIF;31
PAP ASCOPE;LA LIBERTAD;ASCOPE;ASCOPE;SEPTIEMBRE;CERTIFICACION DE RUIPN;69
PAP CHEPEN;LA LIBERTAD;CHEPEN;CHEPEN;JULIO;TRAMITE DNI;985
PAP CHEPEN;LA LIBERTAD;CHEPEN;CHEPEN;JULIO;ENTREGA DNI;1,167
PAP CHEPEN;LA LIBERTAD;CHEPEN;CHEPEN;JULIO;RRCC COPIAS CERTIF;131
PAP CHEPEN;LA LIBERTAD;CHEPEN;CHEPEN;JULIO;CERTIFICACION DE RUIPN;200
PAP CHEPEN;LA LIBERTAD;CHEPEN;CHEPEN;AGOSTO;TRAMITE DNI;1,264
